,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,262,Dion Lewis,RB,54.12,-75.93,48,-68.1,65.8,-81.2,38,-94,84,-39,,
,263,Cooper Kupp,WR,25.68,-28.12,0,0,64.2,-70.3,,,,,,
,264,Laquon Treadwell,WR,26.24,-80.36,1.2,-78,63.6,-70.9,2,-130,,,,
,265,John Ross,WR,25.2,-28.6,0,0,63,-71.5,,,,,,
,266,Will Fuller,WR,54.68,-51.92,45,-34.2,61.7,-72.8,75,-57,,,,
,267,DeAndre Washington,RB,51.76,-59.84,40.8,-38.4,61.4,-85.6,68,-64,,,,
,268,Tyler Higbee,TE,30.56,-42.4,9,-44.4,61.4,-32,15,-74,,,,
,269,Seth Roberts,WR,66.12,-61.63,68.4,-53.1,61.3,-73.2,74,-58,80,-61,,
,270,Tyler Boyd,WR,52.48,-54.12,42,-37.2,61.2,-73.3,70,-62,,,,
,271,Thomas Rawls,RB,67.79,-62.26,74.1,-42,61.1,-85.9,63,-69,121,-2,,
,272,Chris Hogan,WR,72.65,-61.85,78.3,-56.7,61,-73.5,91,-41,58,-83,63,-72
,273,Tavon Austin,WR,83.86,-50.64,101.6,-33.4,60.4,-74.1,89,-43,141,0,59,-76
,274,Nelson Agholor,WR,49.76,-77.99,40.8,-80.7,60.4,-74.1,52,-80,32,-109,,
